INFO  - 2021-01-06 09:05:25.678; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 09:05:55.406; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 09:05:55.433; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 09:06:51.370; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 09:06:51.377; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 09:07:20.163; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 09:12:56.207; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 09:13:18.186; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 09:13:18.198; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 09:13:18.298; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:36:39.362; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:37:02.149; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:37:02.156; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:37:33.298; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:39:04.829; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:39:22.650; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:39:22.659; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:39:40.027; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:39:40.033; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:39:55.866; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:43:32.735; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:43:59.179; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:43:59.186; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:44:13.934; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:44:13.941; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:44:28.303; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:51:04.576; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:51:32.675; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:51:32.682; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:51:50.150; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 11:51:50.153; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-06 11:52:05.596; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-06 12:48:50.316; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 12:50:36.944; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 12:52:31.022; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 12:54:42.611; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 12:54:56.465; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 12:59:55.587; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 13:01:51.154; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 13:02:05.797; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 13:43:32.295; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 13:45:15.444; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 13:50:15.781; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 13:51:32.873; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 13:51:46.688; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 14:31:32.945; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 14:48:20.136; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 14:51:09.188; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 14:53:26.624; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 14:53:41.223; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 14:57:16.935; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 14:57:30.466; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 15:05:44.143; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 15:06:20.859; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 15:14:22.976; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 15:15:12.850; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 15:15:26.096; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 15:15:58.977; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 15:16:12.030; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 15:17:31.472; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 15:17:45.095; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 15:25:52.969; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 15:26:06.284; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 15:27:07.704; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 15:27:22.999; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 15:54:02.745; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
